drug_a,drug_b,efek_interaksi,mekanisme_interaksi_farmakokinetik,mekanisme_interaksi_farmakodinamik,manajemen_interaksi
captopril,clomipramine,Moderate,Tidak ada,Efek hipotensi aditif akibat blokade alfa-1 adrenergik oleh TCA; meningkatkan risiko hipotensi ortostatik dan sinkop.,Pantau tekanan darah terutama pada awal terapi; mulai dengan dosis rendah TCA dan titrasi perlahan; edukasi pasien untuk bangun secara bertahap; pertimbangkan TCA dengan afinitas alfa-1 lebih rendah bila memungkinkan.
hydrochlorothiazide,clomipramine,Moderate,Tidak ada,Efek hipotensi aditif melalui blokade alfa-1 adrenergik; risiko meningkat pada pasien dehidrasi atau lansia.,Pantau tekanan darah; pertimbangkan dosis awal rendah TCA; edukasi pasien terkait pusing dan hipotensi ortostatik; hindari perubahan posisi mendadak.
captopril,clonazepam,Moderate,Tidak ada,"Efek hipotensi aditif akibat kombinasi ACE inhibitor dan benzodiazepin; risiko pusing, sinkop, hipotensi ortostatik.","Pantau tekanan darah; edukasi pasien untuk bangun perlahan; hindari alkohol; waspadai gejala hipotensi, terutama awal terapi atau saat titrasi dosis."
hydrochlorothiazide,clonazepam,Moderate,Tidak ada,Efek hipotensi aditif akibat kombinasi diuretik thiazide dan benzodiazepin; risiko meningkat pada pasien dehidrasi.,Pantau tekanan darah; edukasi pasien untuk perubahan posisi secara perlahan; hindari alkohol; evaluasi gejala pusing atau kelemahan.
captopril,clorazepate,Moderate,Tidak ada,Efek hipotensi aditif antara ACE inhibitor dan benzodiazepin; meningkatkan risiko sinkop dan hipotensi ortostatik.,Pantau tekanan darah; edukasi pasien terkait pencegahan hipotensi; hindari alkohol; perhatikan risiko pada lansia.
hydrochlorothiazide,clorazepate,Moderate,Tidak ada,Efek hipotensi aditif akibat kombinasi diuretik dan benzodiazepin; risiko lebih tinggi pada pasien dengan status volume rendah.,Pantau tekanan darah; edukasi pasien untuk bangun perlahan; hindari alkohol; evaluasi gejala hipotensi.
captopril,clozapine,Moderate,Tidak ada,Efek hipotensi aditif melalui blokade alfa-1 adrenergik oleh clozapine; risiko hipotensi ortostatik dan sinkop.,Pantau tekanan darah secara berkala; mulai dengan dosis rendah clozapine; edukasi pasien untuk bangun perlahan; pertimbangkan alternatif dengan afinitas alfa-1 rendah bila memungkinkan.
hydrochlorothiazide,clozapine,Moderate,Tidak ada,Efek hipotensi aditif akibat blokade alfa-1 adrenergik dan diuretik; risiko meningkat pada pasien dehidrasi atau lansia.,Pantau tekanan darah; edukasi pasien; perhatikan tanda-tanda hipotensi ortostatik; hindari alkohol.
captopril,codeine,Moderate,Tidak ada,"Efek hipotensi aditif akibat kombinasi ACE inhibitor dan opioid; risiko meningkat pada awal terapi atau titrasi dosis; dapat menyebabkan hipotensi ortostatik, pusing, sinkop.",Pantau tekanan darah; edukasi pasien untuk bangun perlahan; hindari alkohol; waspadai gejala hipotensi; hindari mengemudi/operasi mesin hingga respon obat diketahui.
codeine,hydrochlorothiazide,Moderate,Tidak ada,Efek hipotensi aditif; opioid dapat mengurangi efektivitas diuretik melalui sekresi ADH; mekanisme pasti belum jelas.,Pantau tekanan darah dan efektivitas diuretik; sesuaikan dosis diuretik bila perlu; edukasi pasien terkait pusing/hipotensi; hindari perubahan posisi mendadak.
hydrochlorothiazide,colestipol,Moderate,Colestipol mengikat HCTZ di saluran cerna ? menurunkan absorpsi HCTZ (penurunan ekskresi urin hingga 43%).,Tidak ada,Berikan HCTZ ?1 jam sebelum atau ?4 jam setelah colestipol; pantau efektivitas diuretik; sesuaikan dosis bila perlu.
captopril,corticorelin,Moderate,Tidak ada,Kortikosteroid dapat menurunkan efek antihipertensi melalui retensi natrium & cairan (efek mineralokortikoid); risiko edema dan gagal jantung.,"Pantau tekanan darah, elektrolit, dan berat badan; sesuaikan dosis antihipertensi bila perlu; pantau tanda-tanda edema."
hydrochlorothiazide,corticorelin,Moderate,Tidak ada,Efek aditif hipokalemia akibat kombinasi diuretik pembuang kalium dan kortikosteroid (efek mineralokortikoid).,"Pantau kalium serum; berikan suplemen kalium bila perlu; edukasi pasien mengenai gejala hipokalemia (lemas, kram otot)."
captopril,corticotropin,Moderate,Tidak ada,Kortikosteroid/ACTH dapat menurunkan efek antihipertensi melalui retensi natrium & cairan; risiko edema dan gagal jantung.,"Pantau tekanan darah, elektrolit, berat badan; sesuaikan dosis antihipertensi; observasi tanda edema."
hydrochlorothiazide,corticotropin,Moderate,Tidak ada,Efek aditif hipokalemia melalui kombinasi diuretik pembuang kalium dan efek mineralokortikoid ACTH.,Pantau kadar kalium; suplementasi bila perlu; edukasi gejala hipokalemia.
captopril,cortisone,Moderate,Tidak ada,Kortikosteroid dapat mengurangi efek antihipertensi melalui retensi natrium & cairan.,"Pantau tekanan darah, elektrolit, berat badan; sesuaikan dosis antihipertensi; pantau edema."
hydrochlorothiazide,cortisone,Moderate,Tidak ada,Efek aditif hipokalemia akibat kombinasi diuretik dan kortikosteroid.,Pantau kadar kalium; suplementasi bila diperlukan; edukasi pasien tentang tanda hipokalemia.
captopril,cosyntropin,Moderate,Tidak ada,Kortikosteroid/ACTH dapat mengurangi efek antihipertensi melalui retensi natrium dan cairan akibat efek mineralokortikoid; risiko edema dan gagal jantung.,"Pantau tekanan darah, elektrolit, dan berat badan secara berkala; sesuaikan dosis antihipertensi bila perlu; observasi tanda-tanda edema atau gagal jantung."
hydrochlorothiazide,cosyntropin,Moderate,Tidak ada,Efek aditif hipokalemia akibat kombinasi diuretik pembuang kalium dan efek mineralokortikoid ACTH.,"Pantau kadar kalium serum; berikan suplementasi bila perlu; edukasi pasien mengenai gejala hipokalemia (lemas, kram otot, kelemahan)."
captopril,cyclobenzaprine,Moderate,Tidak ada,Efek hipotensi aditif akibat kombinasi ACE inhibitor dengan relaksan otot yang memiliki efek sedatif dan vasodilatasi; risiko hipotensi ortostatik.,Pantau tekanan darah; anjurkan pasien bangun perlahan; hindari alkohol; waspadai pusing/sinkop; hindari aktivitas yang membutuhkan kewaspadaan hingga respon obat diketahui.
hydrochlorothiazide,cyclobenzaprine,Moderate,Tidak ada,Efek hipotensi aditif akibat kombinasi diuretik dengan relaksan otot; meningkatkan risiko hipotensi ortostatik.,Pantau tekanan darah; edukasi pasien mengenai perubahan posisi tubuh secara perlahan; hindari aktivitas berisiko saat awal terapi.
cyclophosphamide,hydrochlorothiazide,Moderate,"Tidak jelas (mekanisme belum diketahui, kemungkinan terkait efek pada sumsum tulang)",Potensiasi penekanan sumsum tulang oleh agen antineoplastik; thiazide dapat menyebabkan disfungsi hematologis.,Pertimbangkan alternatif antihipertensi; pantau status hematologi secara ketat; hentikan salah satu obat bila terjadi mielosupresi berat.
captopril,cyclosporine,Moderate,Tidak ada,"Efek aditif pada risiko hiperpotasemia dan gagal ginjal akut; cyclosporine menyebabkan vasokonstriksi arteriol aferen dan penurunan GFR, ACE inhibitor menghambat mekanisme kompensasi di arteriol eferen.","Pantau kalium serum dan fungsi ginjal secara rutin; hati-hati pada pasien dengan gangguan ginjal, diabetes, usia lanjut, gagal jantung; edukasi gejala hiperpotasemia."
cyclosporine,hydrochlorothiazide,Moderate,Tidak ada,"Risiko peningkatan hiperurisemia, hipermagnesemia, dan nefrotoksisitas; mekanisme tidak sepenuhnya jelas.","Pantau fungsi ginjal, kadar elektrolit, kadar asam urat, dan kadar darah cyclosporine; pertimbangkan untuk menghindari kombinasi bila risiko tinggi."
captopril,daclizumab,Moderate,Tidak ada,Efek aditif hepatotoksisitas; daclizumab memiliki risiko hepatotoksisitas serius termasuk gagal hati dan hepatitis autoimun.,"Pantau AST, ALT, dan bilirubin total sebelum terapi dan tiap bulan; hentikan atau sesuaikan dosis bila terjadi peningkatan signifikan; edukasi pasien tentang tanda hepatotoksisitas."
captopril,dalteparin,Moderate,Tidak ada,"ACE inhibitor dan heparin/LMWH dapat meningkatkan risiko hiperkalemia melalui pengurangan ekskresi kalium; risiko meningkat pada pasien dengan gangguan ginjal, diabetes, usia lanjut, atau gagal jantung berat.","Pantau kadar kalium serum dan fungsi ginjal secara berkala; waspadai gejala hiperkalemia (lemas, aritmia, kelemahan otot); pertimbangkan penyesuaian dosis."
captopril,dapagliflozin,Moderate,Tidak ada,"Efek hipotensi aditif akibat kombinasi ACE inhibitor dengan SGLT-2 inhibitor yang menyebabkan diuresis ringan, natriuresis, dan kontraksi volume intravaskular.","Periksa status volume sebelum memulai terapi; pantau tekanan darah, elektrolit, fungsi ginjal; hentikan sementara SGLT-2 inhibitor jika terjadi dehidrasi atau hipotensi signifikan."
hydrochlorothiazide,dapagliflozin,Moderate,Tidak ada,"Efek diuretik dan hipotensi aditif yang meningkatkan risiko dehidrasi, hipotensi ortostatik, gagal ginjal akut; thiazide juga dapat meningkatkan glukosa darah sehingga menurunkan efek SGLT-2 inhibitor.","Pantau tekanan darah, fungsi ginjal, elektrolit, dan glukosa darah; koreksi status volume sebelum memulai; hentikan sementara SGLT-2 inhibitor jika terjadi dehidrasi atau gangguan ginjal."
captopril,darbepoetin alfa,Minor,Tidak ada,Kemungkinan menurunkan respons hematopoietik terhadap eritropoietin eksogen dengan menekan sintesis endogen atau produksi eritrosit di sumsum tulang; bukti klinis masih bervariasi.,"Pantau hemoglobin, hematokrit, dan respons klinis terhadap terapi ESA; pertimbangkan penyesuaian dosis bila respon hematologis berkurang."
hydrochlorothiazide,darifenacin,Minor,Antikolinergik dapat memperlambat motilitas GI sehingga meningkatkan absorpsi dan bioavailabilitas thiazide; Tmax HCTZ meningkat dan ekskresi urin total meningkat.,Tidak ada mekanisme farmakodinamik yang relevan,"Signifikansi klinis tidak jelas; pantau efek diuretik; tidak diperlukan penyesuaian dosis rutin, namun waspadai jika efek diuretik berubah."
captopril,deflazacort,Moderate,Tidak ada,Kortikosteroid dapat mengurangi efek antihipertensi ACE inhibitor melalui retensi natrium dan cairan akibat aktivitas mineralokortikoid; meningkatkan risiko edema dan gagal jantung.,"Pantau tekanan darah, elektrolit, dan berat badan; sesuaikan dosis antihipertensi bila diperlukan; waspadai tanda-tanda edema dan gagal jantung."
hydrochlorothiazide,deflazacort,Moderate,Tidak ada,Kombinasi diuretik penguras kalium dengan kortikosteroid meningkatkan risiko hipokalemia melalui efek mineralokortikoid; risiko lebih tinggi pada dosis besar atau penggunaan jangka panjang.,"Pantau kadar kalium; berikan suplementasi bila perlu; edukasi pasien tentang tanda-tanda gangguan elektrolit (lemas, kram otot)."
hydrochlorothiazide,demeclocycline,Moderate,Tidak ada,"Kombinasi dapat menyebabkan efek aditif terhadap penurunan fungsi ginjal dan ketidakseimbangan elektrolit/asam-basa; tetrasiklin dapat meningkatkan BUN, azotemia, asidosis, dan hiperfosfatemia, sedangkan diuretik juga mempengaruhi elektrolit dan fungsi ginjal.",Pantau fungsi ginjal dan elektrolit; sesuaikan terapi sesuai kondisi klinis; konsultasikan panduan pabrik untuk rekomendasi spesifik.
hydrochlorothiazide,deserpidine,Moderate,Tidak ada,Efek hipotensi aditif akibat kombinasi diuretik tiazid dan alfa-adrenergik blocker; meningkatkan risiko hipotensi ortostatik.,"Pantau respon hemodinamik, terutama minggu awal terapi; sarankan pasien minum alfa-blocker saat malam hari; edukasi tanda hipotensi ortostatik."
captopril,desipramine,Moderate,Tidak ada,TCA dapat memperkuat efek penurunan tekanan darah ACE inhibitor melalui blokade alfa-1 adrenergik; meningkatkan risiko hipotensi ortostatik dan sinkop.,Pantau tekanan darah; mulai dengan dosis rendah TCA dan titrasi perlahan; edukasi pasien untuk bangun secara bertahap dari posisi duduk/tidur.
desipramine,hydrochlorothiazide,Moderate,Tidak ada,Efek hipotensi aditif serupa karena blokade alfa-1 adrenergik oleh TCA yang dikombinasi dengan diuretik tiazid.,Pantau tekanan darah; pertimbangkan penggunaan TCA dengan afinitas rendah terhadap alfa-1 bila memungkinkan; edukasi pasien tentang risiko pusing atau sinkop.
hydrochlorothiazide,desvenlafaxine,Moderate,Tidak ada,"Kombinasi dapat meningkatkan risiko hiponatremia akibat SIADH yang dipicu SNRI; diuretik dapat memperburuk hiponatremia. Efek aditif pada hipotensi ortostatik juga mungkin terjadi; SNRI juga dapat meningkatkan tekanan darah dan denyut jantung, mengurangi efek antihipertensi diuretik.","Pantau natrium serum, tekanan darah, dan denyut nadi; edukasi pasien tentang gejala hiponatremia dan hipotensi; pertimbangkan penghentian SNRI jika hiponatremia simptomatik."
captopril,dexamethasone,Moderate,Tidak ada,Kortikosteroid dapat mengurangi efek antihipertensi ACE inhibitor melalui retensi natrium dan cairan (aktivitas mineralokortikoid); meningkatkan risiko edema dan gagal jantung.,"Pantau tekanan darah, elektrolit, dan berat badan secara berkala; sesuaikan dosis antihipertensi bila diperlukan; waspadai tanda-tanda edema atau gagal jantung."
hydrochlorothiazide,dexamethasone,Moderate,Tidak ada,Kombinasi diuretik penguras kalium dengan kortikosteroid meningkatkan risiko hipokalemia melalui efek mineralokortikoid; risiko lebih besar pada dosis tinggi atau penggunaan jangka panjang.,"Pantau kadar kalium serum; berikan suplementasi jika diperlukan; edukasi pasien mengenai tanda-tanda gangguan elektrolit (lemah, kram otot)."
hydrochlorothiazide,dexlansoprazole,Moderate,Tidak ada,"PPI jangka panjang dapat menyebabkan hipomagnesemia; diuretik dapat memperburuk kehilangan magnesium. Hipomagnesemia dapat memicu aritmia, kejang, tremor, dan tetani.",Periksa kadar magnesium sebelum dan selama terapi; hentikan PPI jika hipomagnesemia tidak membaik dengan suplementasi; berikan edukasi mengenai gejala hipomagnesemia.
captopril,dexmedetomidine,Moderate,Tidak ada,Efek aditif penurunan tekanan darah dan bradikardia akibat kombinasi ACE inhibitor dengan alfa-2 agonis sedatif.,Pantau tekanan darah dan denyut jantung; sesuaikan dosis bila perlu; siapkan intervensi bila terjadi hipotensi signifikan.
hydrochlorothiazide,dexmedetomidine,Moderate,Tidak ada,Efek aditif hipotensi dan bradikardia dari kombinasi diuretik dengan alfa-2 agonis sedatif.,Pantau tekanan darah dan nadi selama terapi; pertimbangkan penyesuaian dosis.
captopril,dexmethylphenidate,Moderate,Tidak ada,Stimulans dapat mengurangi efek antihipertensi ACE inhibitor dengan meningkatkan tekanan darah (?2?4 mmHg) dan denyut jantung (?3?6 bpm).,Pantau tekanan darah secara berkala; sesuaikan dosis antihipertensi jika perlu.
hydrochlorothiazide,dexmethylphenidate,Moderate,Tidak ada,Stimulans dapat mengurangi efek antihipertensi diuretik tiazid dengan meningkatkan tekanan darah dan denyut jantung.,Pantau tekanan darah; sesuaikan dosis diuretik atau obat antihipertensi lainnya bila perlu.
hydrochlorothiazide,dezocine,Moderate,Tidak ada,Opioid dapat menurunkan tekanan darah dan mengurangi efek diuretik melalui stimulasi sekresi ADH; meningkatkan risiko hipotensi ortostatik.,Pantau tekanan darah; edukasi pasien untuk bangun perlahan; pertimbangkan penyesuaian dosis diuretik bila respons berkurang.
hydrochlorothiazide,diatrizoate,Moderate,Tidak ada,Diuretik dapat meningkatkan risiko nefropati akibat kontras dengan memperburuk deplesi volume dan perfusi ginjal; efek aditif terhadap gangguan fungsi ginjal pada pasien berisiko tinggi.,Pertimbangkan menghentikan diuretik 1?2 hari sebelum pemberian kontras; gunakan dosis kontras terendah dan tipe iso/hypo-osmolar; hidrasi adekuat; pantau fungsi ginjal sebelum dan 24?48 jam setelah prosedur.
captopril,diazepam,Moderate,Tidak ada,Efek hipotensi aditif akibat kombinasi ACE inhibitor dengan agen sedatif/ansiolitik yang menurunkan tekanan darah dan menyebabkan hipotensi ortostatik.,Pantau tekanan darah; edukasi pasien untuk bangun perlahan; hindari alkohol; peringatkan risiko pusing/sinkop; hindari mengemudi atau mengoperasikan mesin sampai efek obat diketahui.
diazepam,hydrochlorothiazide,Moderate,Tidak ada,Efek hipotensi aditif akibat kombinasi diuretik dengan benzodiazepin yang dapat memperburuk hipotensi ortostatik.,Pantau tekanan darah; edukasi pasien mengenai risiko pusing/sinkop; hindari perubahan posisi tiba-tiba; hindari mengemudi/mengoperasikan mesin sampai efek diketahui.
diazoxide,hydrochlorothiazide,Moderate,Tidak ada,Efek hiperglikemia aditif karena kedua obat dapat meningkatkan kadar glukosa darah.,Pantau glukosa darah secara berkala; sesuaikan terapi antihiperglikemia bila diperlukan.
captopril,dichlorphenamide,Moderate,Tidak ada,Efek aditif hipotensi dan hipovolemia dari kombinasi ACE inhibitor dengan diuretik; risiko hipotensi dosis pertama ACE inhibitor meningkat pada pasien deplesi natrium.,"Mulai ACE inhibitor dengan dosis rendah; hentikan diuretik sementara atau tingkatkan asupan garam sebelum memulai; pantau tekanan darah, elektrolit, diuresis, dan fungsi ginjal."
captopril,diclofenac,Moderate,NSAID dapat mengubah farmakokinetik ACE inhibitor tertentu (misalnya mengurangi AUC enalapril/enalaprilat),"NSAID menghambat sintesis prostaglandin ginjal ? mengurangi efek antihipertensi ACE inhibitor, meningkatkan retensi cairan, dan risiko penurunan fungsi ginjal; risiko lebih tinggi pada pasien lansia atau volume-depleted.",Gunakan NSAID dosis rendah/jangka pendek jika diperlukan; pantau tekanan darah dan fungsi ginjal secara berkala; hindari kombinasi pada pasien risiko tinggi gagal ginjal.
hydrochlorothiazide,diclofenac,Moderate,Tidak ada,NSAID dapat menurunkan efek diuretik dan natriuretik tiazid dengan menghambat prostaglandin ginjal; meningkatkan retensi natrium/cairan dan risiko gagal jantung; meningkatkan risiko hiperkalemia pada kombinasi dengan diuretik hemat kalium.,"Hindari dehidrasi; pantau fungsi ginjal, tekanan darah, dan elektrolit; hentikan salah satu obat bila terjadi insufisiensi ginjal atau hiperkalemia."
hydrochlorothiazide,dicumarol,Minor,Tidak ada,Penurunan volume intravaskular akibat tiazid dapat meningkatkan kadar faktor pembekuan ? mengurangi efek antikoagulan. Efek ini biasanya tidak signifikan secara klinis.,"Pantau parameter koagulasi pada fase awal; edukasi pasien untuk melaporkan tanda trombosis seperti nyeri dada, sesak napas, kehilangan penglihatan mendadak, atau pembengkakan ekstremitas."
hydrochlorothiazide,dicyclomine,Minor,"Antikolinergik memperlambat motilitas GI ? meningkatkan absorpsi dan bioavailabilitas tiazid (Tmax lebih lama, ekskresi urin meningkat).",Tidak ada,Perubahan ini umumnya tidak signifikan secara klinis; tidak memerlukan penyesuaian dosis tetapi dapat dipertimbangkan pemantauan efek diuretik pada pasien sensitif.
captopril,didanosine,Minor,"Antasida dalam formulasi didanosine menurunkan bioavailabilitas captopril (Cmax ?50%, AUC ?42%) melalui peningkatan pH lambung dan perlambatan pengosongan lambung.",Tidak ada,Pisahkan waktu pemberian 1?2 jam antara ACE inhibitor dan antasida/didanosine; tidak diperlukan perubahan dosis bila respon klinis tetap adekuat.
captopril,diflunisal,Moderate,NSAID tertentu dapat mengubah farmakokinetik ACE inhibitor (mis. menurunkan AUC enalapril/enalaprilat).,"NSAID menghambat prostaglandin ginjal ? mengurangi efek antihipertensi ACE inhibitor, meningkatkan retensi cairan, dan memperburuk fungsi ginjal; risiko lebih tinggi pada pasien lansia atau deplesi volume.","Jika diperlukan penggunaan NSAID jangka panjang, pantau tekanan darah dan fungsi ginjal secara berkala; gunakan dosis NSAID terendah; hindari pada pasien risiko tinggi gagal ginjal."
diflunisal,hydrochlorothiazide,Moderate,Tidak ada,"NSAID menghambat prostaglandin ginjal ? mengurangi efek diuretik/natriuretik tiazid, meningkatkan retensi cairan, risiko gagal jantung, dan risiko hiperkalemia jika bersama diuretik hemat kalium.","Hindari dehidrasi; pantau fungsi ginjal, tekanan darah, dan elektrolit; hentikan salah satu obat bila terjadi insufisiensi ginjal atau hiperkalemia."
digitoxin,hydrochlorothiazide,Moderate,Tidak ada,Tiazid dapat menyebabkan hipokalemia dan hipomagnesemia ? meningkatkan risiko aritmia pada terapi digitalis.,"Pantau kadar digoksin, kalium, dan magnesium; koreksi gangguan elektrolit; sesuaikan dosis digitalis bila perlu; edukasi pasien untuk melaporkan gejala toksisitas digitalis atau gangguan elektrolit."
captopril,digoxin,Moderate,Beberapa ACE inhibitor dapat menurunkan klirens ginjal digoksin melalui penurunan sekresi tubular ? meningkatkan kadar plasma digoksin; kadang dilaporkan juga penurunan kadar digoksin.,Tidak ada,"Pantau kadar digoksin dan respons klinis, terutama pada pasien gagal jantung atau gangguan ginjal; edukasi pasien untuk melaporkan gejala toksisitas digoksin seperti mual, anoreksia, gangguan penglihatan, bradikardia, atau aritmia."
digoxin,hydrochlorothiazide,Moderate,Tidak ada,Diuretik tiazid dapat menyebabkan hipokalemia dan hipomagnesemia ? meningkatkan risiko aritmia akibat digitalis.,"Pantau kadar digoksin, kalium, dan magnesium; koreksi gangguan elektrolit; sesuaikan dosis digitalis bila perlu; edukasi pasien mengenai gejala toksisitas atau gangguan elektrolit."
hydrochlorothiazide,dihydrotachysterol,Moderate,Tiazid menghambat ekskresi kalsium ginjal dan meningkatkan respons tulang/tubulus terhadap PTH ? meningkatkan kadar kalsium plasma jika digunakan dengan dosis tinggi kalsium/vitamin D.,Tidak ada,"Hindari suplementasi kalsium/vitamin D dosis tinggi tanpa konsultasi medis; pantau kadar kalsium serum; edukasi pasien mengenai tanda hiperkalsemia seperti lemas, mual, muntah, sakit kepala, atau kejang."
captopril,dihydroxyaluminum sodium carbonate,Minor,"Antasida meningkatkan pH lambung dan memperlambat pengosongan lambung ? menurunkan bioavailabilitas captopril (Cmax ?50%, AUC ?42%).",Tidak ada,Pisahkan pemberian ACE inhibitor dan antasida 1?2 jam; tidak perlu penyesuaian dosis jika efek klinis tetap adekuat.
captopril,diltiazem,Minor,Tidak ada,Efek hipotensi aditif antara ACE inhibitor dan CCB (calcium channel blocker).,"Pantau tekanan darah, terutama 1?3 minggu awal; sesuaikan dosis bila terjadi hipotensi berlebihan."
captopril,dimenhydrinate,Moderate,Tidak ada,Efek hipotensi aditif antara antihipertensi dengan obat sedatif/psikoaktif; meningkatkan risiko hipotensi ortostatik.,Pantau tekanan darah; anjurkan pasien menghindari bangun mendadak; hindari alkohol; edukasi pasien untuk mengenali tanda hipotensi dan hindari mengemudi sampai tahu respons obat.
hydrochlorothiazide,dimenhydrinate,Moderate,Tidak ada,Efek hipotensi aditif antara diuretik antihipertensi dengan obat sedatif/psikoaktif; meningkatkan risiko hipotensi ortostatik.,Pantau tekanan darah; anjurkan pasien menghindari bangun mendadak; hindari alkohol; edukasi pasien untuk mengenali tanda hipotensi dan hindari mengemudi sampai tahu respons obat.
captopril,dimethyl fumarate,Moderate,Tidak ada,Kombinasi dengan obat nefrotoksik (termasuk diuretik) dapat meningkatkan risiko toksisitas ginjal; mekanisme melalui efek nefrotoksik aditif pada tubulus ginjal.,"Gunakan dengan hati-hati; lakukan pemeriksaan fungsi ginjal (kreatinin, BUN, urinalisis) sebelum dan selama terapi; waspadai tanda disfungsi ginjal."
hydrochlorothiazide,dimethyl fumarate,Moderate,Tidak ada,Risiko nefrotoksisitas meningkat akibat efek aditif pada ginjal; dilaporkan proteinuria dan kemungkinan sindrom Fanconi.,Pantau fungsi ginjal secara berkala; hindari penggunaan jangka panjang tanpa evaluasi; pertimbangkan alternatif jika risiko tinggi.
captopril,diphenhydramine,Moderate,Tidak ada,Efek hipotensi aditif akibat kombinasi antihipertensi dengan agen sedatif/antihistamin ? meningkatkan risiko hipotensi ortostatik.,Pantau tekanan darah; anjurkan menghindari alkohol; hindari bangun mendadak; edukasi pasien untuk mengenali gejala hipotensi.
diphenhydramine,hydrochlorothiazide,Moderate,Tidak ada,Efek hipotensi aditif antara diuretik antihipertensi dengan agen sedatif/antihistamin ? risiko hipotensi ortostatik meningkat.,Pantau tekanan darah; edukasi pasien untuk menghindari alkohol dan bangun tiba-tiba; waspadai gejala hipotensi.
captopril,diroximel fumarate,Moderate,Tidak ada,Efek nefrotoksik aditif dengan obat nefrotoksik lain; risiko proteinuria dan kerusakan ginjal.,Evaluasi fungsi ginjal sebelum memulai; pantau selama terapi; gunakan hati-hati pada pasien dengan risiko tinggi nefropati.
hydrochlorothiazide,diroximel fumarate,Moderate,Tidak ada,Kombinasi meningkatkan risiko toksisitas ginjal melalui efek nefrotoksik aditif.,Pantau fungsi ginjal secara berkala; hentikan salah satu obat bila terjadi penurunan fungsi ginjal signifikan.
disopyramide,hydrochlorothiazide,Moderate,Tidak ada,HCTZ dapat menyebabkan hipokalemia/hipomagnesemia ? meningkatkan risiko aritmia ventrikular (termasuk torsade de pointes) akibat efek aditif disopyramide yang memanjang QT.,"Hindari kombinasi jika memungkinkan; koreksi elektrolit sebelum terapi; edukasi pasien untuk melaporkan pusing, palpitasi, atau sinkop."
hydrochlorothiazide,dofetilide,Major,"HCTZ meningkatkan kadar plasma dofetilide (Cmax ?21?16%, AUC ?27?30%).",HCTZ juga menurunkan kalium serum sehingga meningkatkan efek pemanjangan QT dari dofetilide ? risiko torsade de pointes.,Kontraindikasi; jangan digunakan bersamaan; pilih alternatif diuretik yang tidak memengaruhi kadar kalium atau kadar dofetilide.
hydrochlorothiazide,dolasetron,Moderate,Tidak ada,"HCTZ dapat menyebabkan gangguan elektrolit (hipokalemia, hipomagnesemia) yang meningkatkan risiko aritmia akibat efek dolasetron dalam memperpanjang PR, QTc, dan melebarkan QRS.",Monitor EKG dan elektrolit secara ketat; koreksi ketidakseimbangan elektrolit; pertimbangkan alternatif jika risiko tinggi.
hydrochlorothiazide,doxacurium,Moderate,Tidak ada,HCTZ dapat menyebabkan hipokalemia yang memperpanjang blokade neuromuskular oleh relaksan otot nondepolarisasi.,Pantau lama blokade neuromuskular; koreksi kalium bila perlu; sesuaikan dosis relaksan otot.
captopril,doxazosin,Moderate,Tidak ada,Efek hipotensi aditif; ACE inhibitor dapat meningkatkan risiko hipotensi ortostatik dan sinkop terutama pada dosis awal alpha-blocker.,Mulai alpha-blocker dengan dosis rendah; titrasi perlahan; pantau respons hemodinamik; anjurkan konsumsi malam hari untuk meminimalkan hipotensi ortostatik.
hydrochlorothiazide,doxazosin,Moderate,Tidak ada,Efek hipotensi aditif antara diuretik dan alpha-blocker yang meningkatkan risiko hipotensi postural.,Pantau tekanan darah; konsumsi alpha-blocker sebelum tidur; edukasi pasien tentang risiko pusing atau sinkop saat terjaga.
captopril,doxepin,Moderate,Tidak ada,TCA seperti doxepin memiliki efek blokade alfa-1 adrenergik yang dapat meningkatkan efek hipotensi ACE inhibitor.,Mulai dengan dosis rendah TCA; titrasi lambat; pilih TCA dengan afinitas alfa-1 rendah bila memungkinkan; edukasi pasien untuk menghindari bangun mendadak.
doxepin,hydrochlorothiazide,Moderate,Tidak ada,Efek hipotensi aditif akibat kombinasi TCA dengan diuretik antihipertensi melalui blokade alfa-1 adrenergik.,Pantau tekanan darah; mulai TCA dengan dosis rendah; titrasi lambat; pertimbangkan agen dengan afinitas alfa-1 rendah.
captopril,doxepin topikal,Moderate,Tidak ada,"Meskipun absorpsi sistemik rendah, risiko hipotensi tetap ada pada penggunaan topikal dengan efek blokade alfa-1 adrenergik bila dikombinasikan dengan ACE inhibitor.",Pantau tekanan darah; edukasi pasien tentang gejala hipotensi; hindari bangun mendadak.
hydrochlorothiazide,doxepin topikal,Moderate,Tidak ada,Potensi efek hipotensi aditif dengan diuretik melalui mekanisme blokade alfa-1 adrenergik dari doxepin topikal.,Pantau tekanan darah; edukasi pasien untuk menghindari perubahan posisi mendadak; waspadai gejala pusing atau sinkop.
hydrochlorothiazide,doxercalciferol,Moderate,"HCTZ mengurangi ekskresi kalsium ginjal, meningkatkan respons tulang dan tubulus ginjal terhadap PTH ? meningkatkan kadar kalsium plasma saat diberikan bersama vitamin D dosis tinggi.",Tidak ada,"Hindari suplemen kalsium/vitamin D dosis tinggi tanpa supervisi; pantau kadar kalsium serum; edukasi pasien mengenai gejala hiperkalsemia (lemas, mual, muntah, sakit kepala, kejang)."
